id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
70820,City View - Sarah's double room.,360195,Sarah,,Windmill Hill,51.43994,-2.59173,Private room,29,7,147,2019-10-11,1.98,5,71
117122,City Centre-Waterside Retreat,591555,Marcus,,Clifton,51.45051,-2.61054,Private room,65,1,142,2019-11-03,1.39,1,344
146407,Sunny Central Artist Cottage (Dbl),708175,Orla,,Southville,51.44131,-2.60271,Private room,38,2,69,2019-08-29,0.79,2,0
176306,The White Room -  Central Bristol Art House Garden,708175,Orla,,Bedminster,51.44101,-2.60121,Private room,35,4,36,2019-08-11,0.42,2,58
220956,"Light, Modern, 1st Floor Apartment.",1145941,Stephen,,Bedminster,51.43852,-2.60142,Entire home/apt,59,2,87,2019-10-26,0.88,1,25
307634,Peaceful Safe Home & Clear Space 'The Lilac Room',1582810,Wendy,,Easton,51.46641,-2.55533,Private room,28,3,18,2019-06-03,0.60,2,114
322906,HUGE Room CENTRAL location House,1156132,Sue And Toby,,Ashley,51.46668,-2.58274,Private room,65,2,80,2018-09-30,1.04,2,88
341227,Georgian townhouse in the heart of Montpelier,237360,Samantha,,Ashley,51.46661,-2.58709,Entire home/apt,250,2,64,2019-09-22,0.69,1,348
389942,Sunny retreat with ensuite,1950884,Sonia,,Redland,51.47926,-2.59108,Private room,50,1,57,2018-08-12,0.61,5,0
389944,Spacious Cosy Room,1950884,Sonia,,Redland,51.47971,-2.59149,Private room,32,1,104,2019-08-05,1.13,5,0
390781,Cosy large room near TV studios & Paintworks,1954565,Fiona,,Brislington West,51.44429,-2.55777,Private room,27,3,30,2019-11-01,0.32,2,36
391612,Central Cosy Double Room House1,1958566,Carmen,,Ashley,51.46487,-2.57989,Private room,32,2,15,2015-08-13,0.16,2,0
391613,Single Central Bristol Room House 1,1958566,Carmen,,Ashley,51.46499,-2.57826,Private room,25,2,49,2015-12-06,0.53,2,324
392215,"home from home, large double, light",1961385,Bea,,Brislington East,51.44111,-2.53683,Private room,19,9,24,2019-11-01,0.26,3,19
392217,"home from home, lovely single room",1961385,Bea,,Brislington East,51.44293,-2.53778,Private room,17,10,17,2019-09-09,0.23,3,109
399681,Historic Trym House - five star!,1941316,Kevin & Lesley,,Westbury-on-Trym & Henleaze,51.49508,-2.61715,Private room,70,2,54,2019-08-16,0.60,1,89
407485,Bristol Luxury Garden Apartment,2029719,Ingrid,,Ashley,51.4692,-2.5819,Entire home/apt,98,2,247,2019-11-10,2.68,1,347
421205,The dog lovers haven,2094659,Lis,,Ashley,51.46465,-2.58367,Private room,28,1,136,2019-11-01,1.52,1,259
422956,Modern inner city 3 bed eco house,2103297,Lois,,Redland,51.47331,-2.60598,Entire home/apt,180,2,305,2019-11-10,3.31,2,322
554813,Central Double Room With Your Own Bathroom,2727252,Rich & Ray,,Lawrence Hill,51.45618,-2.57738,Private room,40,1,170,2019-11-18,1.89,1,62
676106,Unique Dbl Loft space nr station,683638,Helen,,Windmill Hill,51.44192,-2.57073,Private room,30,1,482,2019-10-29,5.57,1,361
688324,"The Green Room, Comfy Double in St Werburghs",3514043,Natasha,,Ashley,51.46974,-2.57565,Private room,28,2,249,2018-11-19,2.85,2,0
753655,Edwardian house in central Bristol,3647954,Cath,,Southville,51.44553,-2.60413,Private room,50,1,263,2019-11-16,3.14,2,281
758894,"Luxury Clifton Village, internet, parking permits",3996407,Joanna,,Clifton,51.45443,-2.62066,Entire home/apt,95,2,350,2019-11-18,4.10,1,345
774471,Lovely Single B/Rm-Central Location,4086056,Lilian,,Hotwells & Harbourside,51.45207,-2.60724,Private room,35,1,485,2019-11-17,5.86,2,329
828102,Charming Room in Victorian Terrace,4341765,Patricia,,St George West,51.45969,-2.54104,Private room,28,2,84,2019-11-18,1.11,4,339
838106,Big double room ensuite bathroom,4379169,Sarah,,Redland,51.47079,-2.59645,Private room,55,2,203,2019-07-19,2.46,2,60
853819,peaceful short term home,4474160,Sarah,,Ashley,51.46963,-2.58088,Private room,62,21,0,,,1,365
868888,Large double room with breakfast,4577089,Rohan,,Eastville,51.47278,-2.54713,Private room,21,7,7,2019-09-16,0.35,2,299
870076,Cosy Single Bedroom in Southville,3647954,Cath,,Southville,51.44593,-2.60309,Private room,39,1,154,2019-11-03,1.88,2,284
897555,Cosy nicely lit room in Bedminster,3271882,Gwen,,Southville,51.44161,-2.59864,Private room,27,2,139,2019-10-07,1.67,2,345
942226,BnB in Barn with 2 ensuite Bedrooms,2103297,Lois,,Redland,51.47513,-2.60474,Entire home/apt,120,2,210,2019-11-12,2.71,2,291
975170,Double room in quiet LGBTQ friendly home,5332833,Ashley,,Eastville,51.48256,-2.5546,Private room,28,3,96,2019-09-10,1.19,2,82
979236,large ensuite with seating area,1156132,Sue And Toby,,Ashley,51.46665,-2.58284,Private room,64,1,164,2019-11-11,2.33,2,87
995235,Clifton Towers Bristol B and B,5466703,Marie,,Clifton,51.45308,-2.61544,Private room,40,1,224,2019-11-17,3.05,1,258
996270,Cosy Room in Victorian Terrace,4341765,Patricia,,St George Central,51.45977,-2.53908,Private room,24,2,41,2019-11-15,0.66,4,326
1033484,Tranquil Room near City Centre,5687726,Joanne,,Ashley,51.46307,-2.57982,Private room,33,1,299,2019-10-27,3.73,2,251
1058698,Ace Attic room in Victorian Terrace,4341765,Patricia,,St George West,51.4599,-2.54102,Private room,29,2,34,2019-10-27,1.22,4,333
